№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
;ПС 35 кВ Черноерковская передвижка;1.6;35/10
;ПС 110 кВ Красноармейская;32;110/35/10
;ПС 110 кВ С.Н.Стеблиевская;16;110/35/10
;ПС 110 кВ Н.Мышастовская;20;110/35/10
;ПС 110 кВ Полтавская;2.5;110/10
;ПС 110 кВ Кирова;10;110/10
;ПС 35 кВ Джерелиевская;2.5;35/10
;ПС 35 кВ Первомайская;4;35/10
;ПС 35 кВ Зеленская;1.6;35/10
;ПС 35 кВ Марьянская;16.3;35/10
;ПС 35 кВ Ивановская-2;2.5;35/10
;ПС 35 кВ МЧОС-4 ;8;35/6
;ПС 35 кВ НС-5 КУОС;4;35/6
;ПС 35 кВ МЧОС-1 «А»;1.6;35/10
;ПС 35 кВ Крупская;2.5;35/10
;ПС 35 кВ Рассвет;6.5;35/10
;ПС 35 кВ Головной водозабор;2.5;35/6
;ПС 35 кВ НИ-11;1.6;35/10
;ПС 35 кВ ПТФ;2.5;35/10
;ПС 35 кВ Мичуринская;8;35/10
;ПС 35 кВ Октябрьская;5;35/10
;ПС 35 кВ С.Н.Стеблиевская;4;35/10
;ПС 35 кВ Ивановская;3.2;35/10
;ПС 110 кВ Темрюк;32;110/35/10
;ПС 110 кВ В.Стеблиевская;57;110/35/10
;ПС 110 кВ Радуга;10;110/10
;ПС 110 кВ Таманский водовод;5;110/6
;ПС 110 кВ Курчанская;6.3;110/6
;ПС 110 кВ С.Титаровская;12.6;110/10
;ПС 35 кВ Мирная;4;35/10
;ПС 35 кВ Черноморская;4;35/10
;ПС 35 кВ Запорожская;8;35/10
;ПС 35 кВ Стрелка;4;35/10
;ПС 35 кВ Голубицкая;10;35/10
;ПС 35 кВ Фанагория;8;35/10
;ПС 35 кВ Ильичевская;4;35/10
;ПС 35 кВ Ахтанизовская;4;35/10
;ПС 35 кВ Тамань;8;35/10
;ПС 35 кВ Рыбзавод;2.5;35/10
;ПС 35 кВ Восточный водозабор;8;35/6
;ПС 110 кВ Волна-1;80;110/35/10
;ПС 110 кВ Волна-2;81;110/35/10
;ПС 35 кВ Калининская;8;35/10
;ПС 35 кВ Медведовская;8;35/10
;ПС 110 кВ Свинокомплекс;32;110/35/10
;ПС 110 кВ Приморско-Ахтарская;32;110/35/10
;ПС 35 кВ Каневская;12.6;35/10
;ПС 35 кВ Пенькозавод;5;35/10
;ПС 35 кВ Переясловская;4;35/10
;ПС 35 кВ Откормсовхоз;5;35/10
;ПС 35 кВ Свободная;2.5;35/10
;ПС 35 кВ Заветы Ильича;8;35/10
;ПС 35 кВ Батуринская;4;35/10
;ПС 35 кВ Большой Бейсуг;2.5;35/10
;ПС 35 кВ Гарбуз Балка;4;35/10
;ПС 35 кВ Чепигинская;2.5;35/10
;ПС 35 кВ Лебяжий Остров;2.5;35/10
;ПС 35 кВ Новое Село;2.5;35/10
;ПС 110 кВ Роговская;10;110/10
;ПС 110 кВ АПК;50;110/10
;ПС 35 кВ Красносельская;4;35/10
;ПС 35 кВ Комбикормовый завод;12.6;35/10
;ПС 35 кВ Теплицы;10.3;35/10
;ПС 35 кВ Незаймановская;1.8;35/10
;ПС 35 кВ Россия;6.5;35/10
;ПС 35 кВ Новоленинская;4;35/10
;ПС 35 кВ Кубанец;2.5;35/10
;ПС 35 кВ Новокорсунская;3.2;35/10
;ПС 35 кВ 40 лет Октября;4;35/10
;ПС 35 кВ Димитрова;4;35/10
;ПС 35 кВ Искра;2.5;35/10
;ПС 35 кВ Очистная;4;35/10
;ПС 35 кВ Красная;8;35/10
;ПС 35 кВ Водозабор;8;35/10
;ПС 35 кВ Красногвардеец;2.5;35/10
;ПС 35 кВ Придорожная;2.5;35/10
;ПС 35 кВ Победа;4;35/10
;ПС 35 кВ Кубань;4;35/10
;ПС 35 кВ Калинина;8;35/10
