№ п/п;Наименование центра питания;Установленная мощность, МВА
125;ПС 35/10 Русские Юрткули;2.5
126;ПС 35/6 ЗНС-1;2.5
127;ПС 35/6 ЗНС-2;2.5
128;ПС 35/6 ЗНС-3;0
129;ПС 35/10 Волостниковка;1.6
130;ПС 110/35/10 Красная Река;22.3
131;ПС 35/10 Малая Кандала;5
132;ПС 110/35/10 Матвеевка;16.3
133;ПС 110/35/10 Прибрежная;32
134;ПС 35/10/6 Старая Майна;21.4
135;ПС 110/35/10 Мелекесс-Городская;80
136;ПС 110/35/10 Чердаклы;50
137;ПС 110/35/10 Нагорная;16.3
138;ПС 110/35/10 Барановка;22.3
139;ПС 110/6/6-10 Клин;80
140;ПС 110/10 Куроедово;6.3
141;ПС 110/35/6-10 Никулино;31
142;ПС 110/10 Октябрьская;5.7
143;ПС 110/35/10 Павловка;20
144;ПС 110/35/10 Радищево;26
145;ПС 110/35/10 Старая Кулатка;12.6
146;ПС 110/10 Шаховская;6.3
147;ПС 35/10 Чирклей;4
148;ПС 35/10 Баклуши;4
149;ПС 35/10 Головино;1.8
150;ПС 35/10 Дмитриевка;4
151;ПС 35/10 Калиновка;2.5
152;ПС 35/10 Красный;4
153;ПС 35/10 Мордовская Карагужа;2.5
154;ПС 35/10 Новая Кулатка;4
155;ПС 35/10 Новоспасская;12.6
156;ПС 35/10 Ореховка;10.3
157;ПС 35/10 Самайкино;2.5
158;ПС 35/10 Славкино;3.2
159;ПС 35/10 Средняя Терешка;2.5
160;ПС 35/10 Старый Атлаш;1.8
161;ПС 35/10 Старое Зеленое;2.5
162;ПС 35/10 Старый Пичеур;2.5
163;ПС 35/10 Татарский Сайман;4
164;ПС 35/10 Троицкий Сунгур;4
165;ПС 35/10 Холстовка;18.5
166;ПС 110/10 Коромысловка;25
167;ПС 110/35/10 Барыш;50
168;ПС 110/35/10 Налейка;31
