Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Береза;1964;3.5;51.9799084876876;34.9157394800144
ПС 35/10 Благодать;1973;6.5;51.7227749554613;38.207392645902
ПС 35/10 Быканово;1984;5;51.2723920980165;36.1802031930768
ПС 35/10 В. Любаж;1967;14;52.2128569286082;35.8248808283817
ПС 35/10 Веселое;1986;3.2;51.2772511790329;34.5689702045195
ПС 35/10 Волобуевка;1975;6.5;51.6862930450486;37.3903872555306
ПС 35/10 Воропаево;1975;8;52.1468429445078;35.3392119984979
ПС 35/10 Восточная;1975;10.3;51.8160678265114;38.1301530468218
ПС 35/10 Выгорное;1965;5;51.6292583820359;37.1074834267836
ПС 35/10 Гастомля;1989;3.2;51.437879004185;35.8296630203539
ПС 35/10 Городок;1982;8;51.7577270095547;36.3115614988149
ПС 35/10 Гуево;1973;5;51.0905913114834;35.3225801019405
ПС 35/10 Долженково;1987;3.2;51.2278682697721;35.8728030796038
ПС 35/6 Духовец;1991;6.5;51.6613788935217;36.0685415527218
ПС 35/10 Жерновец;1965;5;51.69702081959;37.8522921396897
ПС 35/6 Западная;1955;20;51.7099923356361;36.1552093082942
ПС 35/10 Золотухинская КРС;1989;8;52.018010367203;36.3550817821098
ПС 35/10 Зуевка;1984;4.1;51.4181964678413;36.8081225228248
ПС 35/10 Иванино;1989;12.6;51.6379565246108;35.5791215245367
ПС 35/10 Калиновка;1963;4.3;51.8965933236002;34.5022341064554
ПС 35/10 Кириловка;1986;3.2;51.8764854636043;34.8448077550134
ПС 35/10 Комбикормовая;1988;12.6;51.695523738589;35.232334740364
ПС 35/10 Коммунальная;1964;7.2;51.8183146864193;35.28284581196
ПС 35/10 Коренево;1969;10.3;51.4264851626872;34.8815352645833
ПС 35/10 Кремяное;1974;6.5;51.3909116919289;35.0881115797509
ПС 35/10 Крупец;1974;4.3;51.6262857430507;34.3652110492076
ПС 35/10 Кульбаки;1969;5;51.2470525658661;34.7765999862143
ПС 35/10 Культпросвет;1976;5;51.9973673603174;34.4816444760207
ПС 35/10 Курчатов;1973;20;51.667876848626;35.6471031413499
