№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
118;Колеульская;35/10;4,1
119;Лебяжья;35/10;3,2
120;Мариинская городская;35/10;12,6
121;Сусловская;35/10;12,6
122;Мариинский ЛПК;110/10;20
123;Пионерская;110/35/10;32
124;Нагорная;35/6;32
125;Строительная (Мысковский РЭС);35/6;20
126;Безруковская;110/6;16,3
127;Драгунский Водозабор;110/10;20
128;Карьерная;110/35/6;63
129;Мысковская;110/35/6;50
130;Томская;110/35/6;63
131;Чеболсинская;110/6;12,6
132;Распадская-5;110/6;32
133;Распадская-4;110/6;80
134;Распадская-6;110/6;80
135;Апанасовская;35/6;17,5
136;Калмыковская;35/6;16,3
137;Костёнковская;35/10;8
138;Николаевская (ПО ЮЭС);35/10;4,1
139;Осинники-5;35/6;13,8
140;Осинниковский Водозабор;35/6;6,4
141;Бенжереп-2;110/10;5
142;Капитальная-3;110/35/6;50
143;Осинниковская;110/35/6;60
144;Тепличная (Осинник. РЭС);110/10;26
145;Тепловая;110/6;12,6
146;Шушталепская;110/6;50
147;Борисовская;35/10;5
148;Водозабор (ПО ЦЭС);35/6;5
149;Крапивинская;35/10;12,6
150;Панфиловская;35/10;10,3
151;Тарадановская;35/10;5
152;Чусовитинская;35/10;5
153;Шевелёвская;35/10;5
154;Трифоновская;110/35/6;20
155;Дмитриевская;35/10;8
156;Зиминка;35/6;50
157;Котинская;35/10;5,6
158;Красногорская-1;35/6;30
159;Красногорская-2;35/6;12,6
160;Красный Углекоп;35/6;20
161;Маганак;35/6;20
162;Сафоновская;35/10;12,6
163;Терентьевская;35/10;8
164;Шахта-12;35/6;20
165;Шахта-13;35/6;25
166;Юго-Западная;35/6;16,3
167;Ясная Поляна;35/10;8
168;Афонинская;110/35/6;126
169;Вахрушевская;110/6;35
170;Зенковская;110/35/6;80,5
171;Киселёвская-Заводская;110/35/6;63
172;Коммунальная;110/10;48
173;Красный Брод;110/35/6;71,5
174;Прокопьевская;110/35/6;157,5
175;Тырганская;110/35/6;81
176;ММ(Мобильная ПС);110/10(6);25
177;Заринская;35/10;12,6
178;Прогресс;35/10;8
179;Тарасовская;35/10;5
180;Плотниковская;110/35/10;26
181;Промышленная-Сельская;110/35/10;32
182;Байлинская;35/10;1,6
183;Барандатская;35/10;3,2
184;Полуторник;35/10;2
185;Тамбарская;35/10;5
186;Устьколбинская;35/10;5
187;Центральная (Тис.РЭС);35/6;3,6
188;Макаракская;110/35/6;20
189;Тисульская;110/35/10;32
190;Верх-Падунская;35/10;5
191;Глубокинская;35/10;5
192;Зарубинская;35/10;8
193;Моторная;35/10;8
194;Усть-Сосновская;35/10;5
195;Шишинская;35/10;5
196;Мехзаводская;110/10;32
197;Топкинская;110/35/6;126
198;Бурлаковская;35/6;9,6
199;Карагайлинская;35/6;20
200;Михайловская;35/10;5
201;Трудармейская;35/10;10
202;Георгиевская;35/10;5
203;Итатская;35/10;12,6
204;Итатский разрез;35/6;12,6
205;Листвянская;35/10;8
206;Новоподзорновская;35/10;8
207;Новопокровская;35/10;2,5
208;Новотисульская;35/10;8
209;Преображенская;35/10;8
210;Теплореченская;35/10;3,6
211;Тяжинская;110/35/10;50
212;Курсксмоленская;35/10;3,2
213;Николаевская (ПО СВЭС);35/10;3,2
214;Ивановская;110/10;5
215;Чебулинская;110/35/10;20
216;Чумайская;110/10;8,8
217;Арлюкская;35/10;8
218;Водозабор (ПО СВЭС);35/6;12,6
219;Заозерная;35/10;5
220;Зеледеевская;35/10;4,1
221;Кожевниковская;35/10;2,6
222;Кулаковская;35/6;5
223;Новая;35/10;5,6
224;Новоромановская;35/10;5
225;Подсобная;35/10;4,1
226;Проскоковская;35/10;10,3
227;Тальская;35/10;5
228;Большеямная;110/35/10;32
229;Воинская;110/10;20
230;Комплексная;110/35/10;32
231;Проскоковская;110/35/10;50
232;Технониколь;110/10;32
233;Юргинская;110/35/6;71,5
234;Анжерский водозабор;35/6;8
235;Вознесенская;35/10;5
236;Сибирская;35/6;20
237;Судженская;35/6;32
238;Улановская;35/10;5
239;Физкультурник;35/6;13,2
240;Анжерская;110/35/6;80
241;Яйская;110/35/10;20
242;Анжерская НПС;110/6;80
243;Колмогоровская;35/10;8
244;Красносельская;35/10;8
245;Пачинская;35/10;8
246;Пашковская;35/10;11,2
247;Репродуктор;35/10;8
248;Яшкинская;110/35/6;25
249;ЯЦЗ;110/6;41
