Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Скоморохово;1965;3.2;56.9941611111111;38.7433416666667
ПС 35/10 Соломидино;1973;2.5;56.7418361111111;38.7114583333333
ПС 35/10 Ставотино;1981;8;57.3026111111111;39.9441777777778
ПС 35/10 Урусово;1989;5;57.4125194444444;39.4173583333333
ПС 35/10 Филимоново;1986;5;56.7860055555556;39.1007305555556
ПС 35/10 Чопорово;1985;5;57.0100055555556;39.0069333333333
ПС 35/10 Щурово;1972;5;57.1699027777778;38.8216944444444
ПС 35/10 Нексанс;2007;20;57.5052388888889;38.2943277777778
ПС 35/6 Прибрежная;1968;20;57.5211861111111;38.2983333333333
ПС 110/10  Тишино;1982;50;57.3722694444444;39.6261722222222
ПС 110/10 Продуктопровод;2007;12.6;57.9030666666667;38.1304222222222
ПС 110/10  Некоуз ;1975;12.6;57.9045583333333;38.0855111111111
ПС 110/6 Южная;1968;50;58.0312388888889;38.8380166666667
ПС 110/10 Оптика ;1984;20;58.0207444444444;38.8389027777778
ПС 110/6 Полиграфмаш ;1975;32;58.0323722222222;38.8798805555556
ПС 110/6/6 Западная ;1937;126;58.0496888888889;38.8033277777778
ПС 110/35/6    Волжская ;"35кВ - 1938; 110кВ - 1962";80;58.0927083333333;38.7013611111111
ПС 110/35/6      Левобережная ;1964;32;58.0734111111111;38.8646138888889
ПС 35/10 Левобережная;1964;4;58.0734111111111;38.8646138888889
ПС 110/35/10      Пищалкино;1958;15;57.81375;37.3773416666667
ПС 35/6 Пищалкино;1958;1.6;57.81375;37.3773416666667
ПС 110/6 Судоверфь ;1976;20;58.0436583333333;38.9164027777778
ПС 110/6 Селехово ;1993;12.6;58.1096777777778;38.6462583333333
ПС 35/6 Каменники ;1959;8;58.15025;38.6575416666667
ПС 35/10 Шашково;1972;3.2;58.014325;39.1957777777778
ПС 110/6 Веретье ;1975;50;58.0566277777778;38.7431805555556
ПС 35/10 Николо-Корма ;1993;8;57.8991972222222;38.5378527777778
ПС 35/10  Арефино ;1964;5;58.2380277777778;39.2349277777778
ПС 35/10 Князево ;1982;4.1;58.5144166666667;39.1033416666667
ПС 35/10 Покров;1990;3.2;58.3088666666667;39.6251861111111
