N;Name;Voltage;Rate;Operator;StartDate
;ПС Р-26;"110000;10000;6000";;ЦЭС;
;"ПС Р-27 ""Центральная""";"110000;10000;6000";;ЦЭС;
;ПС Р-28;"110000;10000;6000";;ЦЭС;
;ПС Р-29;"110000;10000";;ЦЭС;
;ПС Р-3;"110000;6000";;ЦЭС;
;ПС Р-31;"110000;6000";;ЦЭС;
;ПС Р-32;"110000;10000;6000";;ЦЭС;
;ПС Р-33;"110000;10000;6000";;ЦЭС;
;ПС Р-35;"110000;10000;6000";;ЦЭС;
;ПС Р-37;"110000;10000;6000";;ЦЭС;
;ПС Р-38;"110000;10000";;ЦЭС;
;ПС Р-5;"110000;10000;6000";;ЦЭС;
;ПС Р-6;"110000;10000";;ЦЭС;
;ПС Р-7;"110000;35000;6000";;ЦЭС;
;ПС Р-8;"110000;10000;6000";;ЦЭС;
;ПС СМ-1 Семикаракорская;"110000;35000;10000";;ЦЭС;
;ПС Суходольная;"110000;10000";;СЭС;
;ПС СМ-2 Задоно-Кагальник;"110000;35000;10000";;ЦЭС;
;ПС СМ-3 Садковская;"110000;35000;6000";;ЦЭС;
;ПС СМ-4 Сусатская;"110000;10000";;ЦЭС;
;ПС Г-2;"110000;35000;6000";;ЗЭС;
;ПС Г-4;"110000;35000;6000";;ЗЭС;
;ПС Г-9;"110000;6000";;ЗЭС;
;ПС Г-10;"110000;35000;6000";;ЗЭС;
;ПС Г-13;"110000;6000";;ЗЭС;
;ПС Г-14;"110000;6000";;ЗЭС;
;ПС Г-15;"110000;6000";;ЗЭС;
;ПС Г-18;"110000;6000";;ЗЭС;
;ПС Н-1;"110000;35000;6000;3000";;ЗЭС;
;ПС Н-4;"110000;35000;6000";;ЗЭС;
;ПС Н-8;"110000;35000;6000";;ЗЭС;
;ПС Н-9;"110000;35000;10000";;ЗЭС;
;ПС Н-13;"110000;10000";;ЗЭС;
;ПС Н-15;"110000;35000;10000";;ЗЭС;
;ПС Н-16;"110000;10000";;ЗЭС;
;ПС Н-17;"110000;35000;10000";;ЗЭС;
;ПС Н-21;"110000;10000";;ЗЭС;
;ПС С-2;"110000;35000;6000";;ЗЭС;
;ПС С-5;"110000;10000";;ЗЭС;
;ПС С-6;"110000;6000";;ЗЭС;
;ПС С-7;"110000;10000";;ЗЭС;
;ПС Ш-6;"110000;10000";;ЗЭС;
;ПС Ш-8;"110000;35000;6000";;ЗЭС;
;ПС Ш-9;"110000;35000;6000";;ЗЭС;
;ПС Ш-14;"110000;35000;27000;10000";;ЗЭС;
;ПС Ш-16;"110000;35000;10000";;ЗЭС;
;ПС Ш-34;"110000;35000;10000";;ЗЭС;
;ПС Ш-35;"110000;35000;10000";;ЗЭС;
;ПС Ш-36;"110000;10000";;ЗЭС;
;ПС Ш-37;"110000;10000";;ЗЭС;
