№ п/п;Наименование центра питания;Установленная мощность, МВА
50;ПС 35/10 кВ Новый Сарбай;12.6
51;ПС 35/10 кВ Ореховка;8
52;ПС 35/10 кВ Подъем-Михайловка;20
53;ПС 35/10 кВ Петровка;4
54;ПС 35/10 кВ Старо-Ганькино;4
55;ПС 35/10 кВ Трофимовка;5
56;ПС 35/10 кВ Тимашевская ПТФ;5
57;ПС 35/10 кВ Усманка;4
58;ПС 35/10 кВ Шевченко;4
59;ПС 35/6 кВ Большой Толкай;10.3
60;ПС 35/6 кВ Вишневка;10.3
61;ПС 35/6 кВ Красные Пески;13.8
62;ПС 35/6 кВ НС-4;6.3
63;ПС 35/6 кВ НС-6;4
64;ПС 35/6 кВ Подлесная;2.5
65;ПС 35/6 кВ Полевая;12.6
66;ПС 35/6 кВ Придорожная;12.6
67;ПС 35/6 кВ Рубежное;6.3
68;ПС 35/6 кВ Рысайкино;6.3
69;ПС 35/6 кВ Рабочий;10
70;ПС 35/6 кВ Солнечная;8
71;ПС 35/6 кВ Среднее Аверкино;4
72;ПС 35/6 кВ Юлия;2.5
73;ПС 35/6 кВ Яблонка;3.6
74;ПС 35/0,4 кВ Киркомбинат;0.8
75;ПС 35/04 кВ Удача;0.4
76;ММПС 110 кВ;25
77;ТП Кур-201;0.4
78;ПС 35/10 кВ Аделяково ;3.2
79;ПС 110/35/6 кВ Алакаевка ;40
80;ПС 110/35/6 кВ АТД ;80.5
81;ПС 35/10 кВ Багана ;12.6
82;ПС 110/10 кВ Безымянка-3 ;90
83;ПС 35/10 кВ Большая Раковка ;12.6
84;ПС 110/6 кВ Ботаническая ;80
85;ПС 110/35/10 кВ Винтай ;45
86;ПС 110/35/6 кВ Горная ;41
87;ПС 110/6 кВ Городская-1 ;80
88;ПС 110/10 кВ Городская-2 ;80
89;ПС 110/10 кВ Городская-3 ;85
90;ПС 35/10 кВ Денискино ;8
91;ПС 110/35/10/6 кВ ДСК-2 ;32.6
92;ПС 110/35/10 кВ Елховка ;32
93;ПС 35/10 кВ Елшанка ;1.8
94;ПС 110/10 кВ Ермаково ;6.3
95;ПС 110/10 кВ Зубовская ;10
96;ПС 110/35/10 кВ Исаклинская ;32
97;ПС 110/35/10 кВ Камышла ;50
98;ПС 110/35/6 кВ Клиническая ;126
99;ПС 110/35/10 кВ Клявлинская ;32
100;ПС 35/10 кВ Коммунар ;4
101;ПС 110/10 кВ Кошки ;35
102;ПС 110/35/6 кВ Красноглинская-1 ;126
103;ПС 110/10 кВ Красносельская ;12.5
104;ПС 110/35/10 кВ Красноярская ;50
105;ПС 110/35/6 кВ Кряжская ;103
106;ПС 110/10 кВ КС-21, КС-21А ;252
107;ПС 35/10 кВ Культура ;8
108;ПС 110/6 кВ Курумоч ;20
109;ПС 110/10 кВ Кутузовская ;6.3
110;ПС 35/10 кВ Мордово-Ишуткино ;4
111;ПС 110/10 кВ Надеждино ;6.3
112;ПС 35/10 кВ Новый Буян ;12.6
113;ПС 110/10 кВ Нижняя Быковка ;6.3
114;ПС 35/10 кВ Новое Ганькино ;8
115;ПС 110/10 кВ Новая Кармала ;10
116;ПС 35/10 кВ Озерки ;4
117;ПС 35/6 кВ ПТФ ;8
118;ПС 35/10 кВ Рассвет ;4
119;ПС 110/10 кВ Русская Васильевка ;6.3
120;ПС 110/10 кВ Русское Добрино ;2.5
121;ПС 110/10 кВ Садовая ;12.6
122;ПС 110/10 кВ Северная ;80
123;ПС 110/10 кВ Сергиевская ;32
124;ПС 110/35/6 кВ Серноводская-110 ;42
125;ПС 35/10 кВ Сидоровская ;5
126;ПС 35/10 кВ Смагино ;4
127;ПС 35/10 кВ Старый Буян ;8
128;ПС 110/6 кВ Студеная ;64
129;ПС 35/10 кВ Суркино ;4
130;ПС 110/10 кВ Танаевская ;80
131;ПС 110/6 кВ Томашев Колок ;126
132;ПС 35/10 кВ Теплый Стан ;4
133;ПС 35/10 кВ Усманово ;4
134;ПС 110/35/6 кВ Фарада ;80
135;ПС 110/6 кВ Хилково ;12.6
136;ПС 35/6 кВ Центральная-1;31
137;ПС 110/10/6 кВ Центральная-2 ;80
