Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;110/35/10;Сапфир;20;1994;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/10;Сейма ПТФ;50;1989;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/35/10;Сеченово-110;20;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/35/10;Ситники;50;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/35/10;Смолино;20;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/35/10;Сокольская;20;1973;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/35/10;Спасское;20;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/35/10;Сухобезводное;20;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/35/10;Тонкино;26;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/35/10;Урень;26.3;1972;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/35/10;Шатки;36;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/6;Берёза (ПЗРА);20;;АО «НПО „Правдинский радиозавод“»;
ПС;;110/35/6;Бурцевская;50;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/35/6;Вача;26;1931;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Воротынец;50;1959;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/35/6;Гремячево;41;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Дзержинская;63;1927;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/35/6;Желнино;20;;ОАО «Сетка»;
ПС;;110/35/6;Змейка;32;1977;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Кожевенная;41;1971;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/35/6;Кстовская;30;;ООО «Зефс-Энерго»;
ПС;;110/35/6;Кулебаки;50;1930;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Левобережная;56;1950;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/35/6;Моховые горы;71.5;1933;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/35/6;Павлово;45;1925;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/35/6;Первомайск;35;1958;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/6;Рубин;50;;ООО «Энергосистемы»;
ПС;;110/35/6;Сосновская;32;1941;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Турбенево;10;1958;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/6;Чистовская;20;1936;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/10/6;Городская;66;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/10/6;Западная;143;1954;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/10/6;Ковалиха;72;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10/6;Лысково;45;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10/6;Мадаево;12.6;1997;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/10/6;Мещерская;50;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10/6;НИИТОП;50;1995;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10/6;Печёрская;50;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10/6;Свердловская;158;1936;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10/6;Степаньково;50;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10/6;Фреза;40;;ООО «Зефс-Энерго»;
ПС;;110/10;АМЗ;65;;ПАО «Арзамасский машиностроительный завод»;
ПС;;110/10;Андреевская;8.8;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;Афонинская;32;;ООО «Волгоэлектросеть»;
ПС;;110/10;Ачка;20;1993;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;Безводное;20;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Берёзовская;32;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/10;Боковая;6.3;1968;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/10;Буревестник;26;1995;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Варганы;12.6;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Вахтан;16.3;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Власть Советов;12.6;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/10;Возрождение;12.6;1993;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;ГАСТ-2;50;;АО «Верхне-Волжская энергетическая компания»;
ПС;;110/10;Доскино;26;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/10;Заводская;32;;АО «Арзамасский приборостроительный завод им. П.И. Пландина»;
ПС;;110/10;ЗКПД;32;;ЗАО «ЗКПД-4 Инвест»;
ПС;;110/10;Зубилиха;5;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/10;Ильинская;16.3;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/10;Карпуниха;5.6;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Кварц;20;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/10;Красные Баки;20;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/10;КС-6;20;1963;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/10;Кузнечиха;80;1984;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
