№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
92;"ПС-133 ""Идрица""";110/35/10;26
93;"ПС-136 ""Булынино""";110/10;6.3
94;"ПС-138 ""Середка""";110/10;12.6
95;"ПС-139 ""Кунья""";110/35/10;20
96;"ПС-140 ""Черская""";110/10;2.5
97;"ПС-146 ""Полна""";110/10;5
98;"ПС-147 ""Бежаницы""";110/35/10;26
99;"ПС-148 ""Пыталово""";110/10;12.6
100;"ПС-149 ""Воронцово""";110/10;12.6
101;"ПС-157 ""В.Луки ФТП""";110/6;50
102;"ПС-160 ""Макушино""";110/10;2.5
103;"ПС-161 ""Опочка""";110/35/10;32
104;"ПС-163 ""Новоселье""";110/10;8.8
105;"ПС-167 ""Сиверст""";110/35/10;16.3
106;"ПС-168 ""Плаксино""";110/10;6.3
107;"ПС-172 ""Писковичи""";110/10;20
108;"ПС-173 ""Насва""";110/10;12.6
109;"ПС-192 ""Гдов""";110/35/10;20
110;"ПС-197 ""Славковичи""";110/10;5.7
111;"ПС-198 ""Псковкирпич""";110/10;16.3
112;"ПС-200 ""Фишнево""";110/10;5
113;"ПС-201 ""Кудеверь""";110/10;6.3
114;"ПС-202 ""Подберезье""";110/10;4
115;"ПС-203 ""Гривы""";110/10;2.5
116;"ПС-204 ""Пустынька""";110/10;2.5
117;"ПС-205 ""ГИК""";110/10;10
118;"ПС-206 ""Реостат""";110/6;10
119;"ПС-216 ""Крюки""";110/10;12.6
120;"ПС-217 ""Крипицы""";110/10;2.5
121;"ПС-219 ""Пионерный""";110/6;6.3
122;"ПС-220 ""Махновка""";110/35/10;6.3
123;"ПС-221 ""Рубилово""";110/10;8.8
124;"ПС-236 ""Переслегино""";110/10;12.6
125;"ПС-240 ""Верхолино""";110/10;5
126;"ПС-241 ""Крестилово""";110/10;5
127;"ПС-253 ""Тямша""";110/10;20
128;"ПС-254 ""Ашево""";110/10;5
129;"ПС-255 ""Стремутка""";110/10;12.6
130;"ПС-281 ""СУ ГРЭС""";110/6;6.3
131;"ПС-282 ""Овсище""";110/10;50
132;"ПС-283 ""Завеличье""";110/10;80
133;"ПС-284 ""Новоржев""";110/35/10;12.6
134;"ПС-285 ""Кр. город""";110/35/10;20
135;"ПС-286 ""Недомерки""";110/10;12.6
136;"ПС-287 ""Гавры""";110/10;2.5
137;"ПС-288 ""Линово""";110/10;2.5
138;"ПС-289 ""Беляево""";110/10;5
139;"ПС-302 ""Волышево""";110/10;8.8
140;"ПС-309 ""Пустошка""";110/35/10;12.6
141;"ПС-311 ""Маево""";110/10;12.6
142;"ПС-312 ""Себеж""";110/35/10;20
143;"ПС-313 ""Ляпуны""";110/10;10
144;"ПС-314 ""Лудони""";110/10;2.5
145;"ПС-328 ""Псковмаш""";110/10/6;50
146;"ПС-335 ""Ляды""";110/35/10;6.3
147;"ПС-342 ""НПС Невель""";110/10;25
148;"ПС-343 ""НПС В.Луки""";110/10;50
149;"ПС-348 ""В.Луки ЗЩА""";110/10;88
150;"ПС-352 ""Суханово""";110/10;6.3
151;"ПС-356 ""Подлипье""";110/10;12.6
152;"ПС-357 ""Хилово""";110/10;5
153;"ПС-358 ""Полоное""";110/10;12.6
154;"ПС-359 ""Поречье""";110/35/10;16.3
155;"ПС-361 ""Крупп""";110/10;2.5
156;"ПС-363 ""СОМ""";110/10;20
157;"ПС-371 ""Скуратово""";110/10;2.5
158;"ПС-372 ""Мякишево""";110/10;2.5
159;"ПС-373 ""Родовое""";110/10;2.5
160;"ПС-384 ""Поляне""";110/10;5
161;"ПС-385 ""с/х Кирова""";110/10;6.3
162;"ПС-386 ""Качаново""";110/35/10;6.3
163;"ПС-387 ""Пожеревицы""";110/10;5
164;"ПС-388 ""ЗСК""";110/10;20
165;"ПС-399 ""ЭТЗ Псков""";110/10;50
166;"ПС-504 ""ПКК""";110/10;32
167;"ПС-505 ""Кебь""";110/10;2.5
168;"ПС-506 ""Щербино""";110/10;2.5
169;"ПС-507 ""Малахово""";110/10;2.5
170;"ПС-508 ""Добручи""";110/10;5
