№ п/п;Наименование центра питания;Установленная мощность, МВА
121;ПС 35/10 Каменный Брод;8
122;ПС 35/10 Каргалейка;5
123;ПС 35/10 Клейменовка;8
124;ПС 35/10 Кобылкино;8
125;ПС 35/10 Козловка;5
126;ПС 35/10 Колтовское;5
127;ПС 35/10 Комаровка;5
128;ПС 35/10 Комбикормовая;16.3
129;ПС 35/10 Комсомолец;5
130;ПС 35/10 Котел;3.2
131;ПС 35/10 Краснополье;5
132;ПС 35/10 КСМ;12.6
133;ПС 35/10 Кувак-Никольск;6.5
134;ПС 35/10 Кутля;5
135;ПС 35/10 Кучки;8
136;ПС 35/10 Липовка;8
137;ПС 35/10 Лопуховка (КуПО);5.7
138;ПС 35/10 Лопуховка (ПеПО);12.6
139;ПС 35/10 Малая Сергеевка;4
140;ПС 35/10 Марат;5
141;ПС 35/10 Маркино;8
142;ПС 35/10 Мача Родники;4.1
143;ПС 35/10 Междуречье;5
144;ПС 35/10 Митрофаново;1.6
145;ПС 35/10 Михайловка;3.2
146;ПС 35/10 Мордовский Камешкир;1.6
147;ПС 35/10 Названовка;6.5
148;ПС 35/10 Назимкино;5
149;ПС 35/10 Нечаевка;12.6
150;ПС 35/10 Николаевка;5
151;ПС 35/10 Никольский РЭС;1.6
152;ПС 35/10 Новопавловка;5
153;ПС 35/10 Новый Мачим;5
154;ПС 35/10 Пермиево;8
155;ПС 35/10 Пичевка;4.1
156;ПС 35/10 Плесс;4
157;ПС 35/10 Подгорная;1.6
158;ПС 35/10 Поим;16.3
159;ПС 35/10 Поперечное;5
160;ПС 35/10 Порзово;4
161;ПС 35/10 Потьма;6.5
162;ПС 35/10 Приволье;5
163;ПС 35/10 Птицефабрика;20
164;ПС 35/10 Пятилетка;8
165;ПС 35/10 Рахмановка;5
166;ПС 35/10 Русский Ишим;5
167;ПС 35/10 Русско-Никольская;3.2
168;ПС 35/10 Саловка;1.6
169;ПС 35/10 Саранская;32
170;ПС 35/10 Секретарка;3.2
171;ПС 35/10 Сельхозтехника;9.6
172;ПС 35/10 Серп и молот;5
173;ПС 35/10 Скворечное;5
174;ПС 35/10 Согласовка;3.2
175;ПС 35/10 Сорокино;4.1
176;ПС 35/10 Степановка;5
177;ПС 35/10 Степное;2.5
178;ПС 35/10 Сюзюмская;8
179;ПС 35/10 Тихменево;5
180;ПС 35/10 Тюнярь;2.5
181;ПС 35/10 Уварово;3.2
182;ПС 35/10 Устье;5
183;ПС 35/10 Ухтинка;5
184;ПС 35/10 Ушинка;5
185;ПС 35/10 Царевщино;8
186;ПС 35/10 Чернозерье;6.5
187;ПС 35/10 Чирчим;6.5
188;ПС 35/10 Чубаровка;2.5
189;ПС 35/10 Чунаки;8
190;ПС 35/10 Шемышейка;5
191;ПС 35/10 Шугурово;4
192;ПС 35/10 Явлейка;5
193;ПС 35/10/6 Лемзяйка;8.8
194;ПС 35/10/6 Межсовхозная;6.5
195;ПС 35/10/6 Пустынь;2.5
196;ПС 35/10/6 Шелдоисс;5
197;ПС 35/6 Алферовка;6.3
198;ПС 35/6 Ключи;6.3
199;ПС 35/6 Подгорное;5
200;ПС 35/6 Ясная Поляна;12.6
