Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Моздокская;1991;2.5;52.0139979881507;41.8496160093033
ПС 35/10 Обловская;1976;5;51.9349299777311;42.2587643640217
ПС 35/10 В.Вершинская;1975;6.5;51.8419430618578;42.2371571505642
ПС 35/10 Лучевская;1979;4.1;51.771579742115;41.9514163471085
ПС 35/10 Ольшанская;1976;6.5;52.0761363016223;42.5230454482913
ПС 35/10 Павлодарская;1986;2.5;51.7466998055608;42.0621390865829
ПС 35/10 Березовская;1983;5;51.9882811584945;42.4337626159286
ПС 35/10 К.Звездинская;1979;3.2;52.0029928421569;42.6379662607908
ПС 35/10 Прудковская;1986;4.1;51.7862202542413;42.3175121358975
ПС 35/10 Шапкинская;1987;8;51.7120533895527;42.4002960821385
ПС 35/10 Марьинская;1978;3.2;52.5400761266268;42.7154126117518
ПС 35/10 Ирская;1979;4.1;52.7742018110897;42.8421639194992
ПС 35/10 Заводская;1989;8;52.6519557645558;42.8033560212034
ПС 35/10 Калаисская;1983;2.5;52.6370815520816;42.6226063534946
ПС 35/10 Соколовская;1979;5;52.8222021039006;42.4379863329627
ПС 35/10 Ветеринарная;1974;2.5;52.424313541026;42.9633978669521
ПС 35/10 Глуховская;1984;2.5;52.6659114558169;43.128925523159
ПС 35/10 Оржевская;1968;2.5;52.7275248662522;42.8878369308395
ПС 35/10 Восточная;1974;8;52.5657459458584;42.9511838049449
ПС 35/10 Гавриловская;1978;8;52.8590148432883;42.737025990209
ПС 35/10 Пересыпкинская;1985;5;52.9170462770702;42.844477824468
ПС 35/10 Анненская;1985;5;53.0179160205601;42.5493358484527
ПС 35/10 Филатовская;1984;5;52.1741179204778;42.5826762918035
ПС 35/10 Никитинская;2011;8;52.415812535976;42.4247927554833
ПС 35/10 Балыклейская;1975;5;52.3071998595798;42.5919948169496
ПС 35/10 Караваинская;1976;3.2;52.4257466439131;42.1983466222381
ПС 35/10 Романовская;1967;3.2;52.3997373569831;42.8166164465247
ПС 35/10 Борщевская;2014;20;;
