Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/35/6кВ Кожаны;1960;20;52.8134434247344;31.7263000722585
ПС 110/35/10кВ Комаричи;1977;32;52.4314750948457;34.7805289722
ПС 110/10кВ Красный Рог;1977;5;52.9473212930528;33.7244015156636
ПС 110/10кВ Летошники;1983;6.5;53.4555086488738;33.6377216998955
ПС 110/10кВ Лопандино;1992;6.3;52.4740461911262;34.8341191172164
ПС 110/35/10кВ Луговая;1992;16;53.0577815905202;32.8701835352628
ПС 110/6кВ Мамоновская;1979;32;53.2819384230382;34.4425376495395
ПС 110/35/10кВ Марицкая;1979;26;52.1414755748119;34.4603730965094
ПС 110/6кВ Мичуринская;1975;32;53.2712853070396;34.2303554508754
ПС 110/10кВ Молотинская;1975;12.6;53.3484609208436;33.8827104449082
ПС 110/6кВ Найтоповичи 8НА;1964;10;52.7706368037567;32.6658895654065
ПС 110/35/10кВ Нерусса;1991;16;52.5839026897195;34.5896584454846
ПС 110/35/10кВ Плюсково;2008;6.3;52.7667868652472;33.8324446307811
ПС 110/35/10кВ Погар;1969;48;52.5364480873918;33.2561653208548
ПС 110/10кВ Полпинская;1978;32;53.2397365429816;34.4969822851604
ПС 110/35/10кВ Почепская;1964;50;52.9184690021307;33.4953489525357
ПС 110/10кВ Свенская;1988;6.3;53.1701593873558;34.3771049840242
ПС 110/10кВ Семячки;1984;5;52.6452082751393;33.6509756441198
ПС 110/6кВ Советская;1964;105;53.2426777917466;34.3190287006699
ПС 110/6кВ Сталелитейная;1958;111.5;53.3325144413883;34.2662428195904
ПС 110/35/10кВ Стародуб;1974;32;52.5646198125655;32.7313572959005
ПС 110/10кВ Староселье;1982;12.6;52.8505682641672;33.2834815837437
ПС 110/35/6кВ Сураж;1976;32;53.0117633043336;32.4149444491414
ПС 110/10кВ Тепличная;1983;20;53.1730496211933;34.2291143849622
ПС 110/10кВ Трубчевская;1972;26;52.5857151370164;33.7534692841146
ПС 110/6кВ Урицкая;1964;40;53.2922516936785;34.3735734452624
ПС 110/10кВ Хмелевская;1990;6.3;53.0369072607222;33.8979087468118
ПС 110/35/10кВ Центральная;1990;32;52.8448122585451;34.501742990511
ПС 110/10кВ Шеломы;1981;12.6;52.5678289257508;31.858973398009
ПС 110/6кВ Энергоремонт;1992;10;53.1922572131439;34.4416925808661
ПС 110/35/6кВ Юбилейная;2006;32;52.8329512933654;32.7042906952393
ПС 110/6кВ Южная;1964;41;53.2104146777961;34.4429265865834
ПС 35/10кВ Абаринская;1988;8;52.6853831788092;33.1857317219411
ПС 35/10кВ Алешинская;1967;2.5;53.6646564648343;33.2987660949553
ПС 35/10кВ Алтуховская;1969;1.6;52.6745421266577;34.3657778990069
ПС 35/10кВ Андрейковичи;1963;5;52.3970306676321;32.9932215911571
ПС 35/6кВ Белобережская;1978;12.6;53.2083136111703;34.6381132923594
ПС 35/10 кВ Борщёво;1984;3.2;52.4803483638858;33.1160077204048
ПС 35/10кВ Брасовская;1972;12.6;52.5921145329187;34.5802070684161
ПС 35/10кВ Бульшевская;1980;3.2;53.2204126711396;33.2659557972279
ПС 35/6кВ Бытошь;1964;9.5;53.8190158941506;34.1085605783825
ПС 35/6кВ Вельяминовская;1969;8;53.0564660310931;35.0877360804778
ПС 35/6кВ Ветьма;1969;5;53.7154165301988;34.0787964495687
ПС 35/10кВ Влазовичи;1984;4.1;53.0144966672377;32.2830602189528
ПС 35/6кВ Водозабор;1989;5;52.8350610933821;31.9368768679829
ПС 35/6кВ Володарская;1947;20;53.2741132791247;34.4017612274699
ПС 35/10кВ Воронок;1964;5.7;52.3680729721643;32.6590298776158
ПС 35/10кВ Глодневская;1969;6.5;52.6412042865737;34.8494180993394
ПС 35/10кВ Гордеевкская;1963;8;52.9623563840017;31.9630695332558
ПС 35/6кВ Городская;1946;20;53.2475671317805;34.3667275116008
ПС 35/6кВ Гриденки;1977;10.3;52.650700616823;32.9503468299355
ПС 35/10кВ Гришина Слобода;1993;8;53.5964470839782;33.8012431369849
ПС 35/10кВ Дивовка;1978;2.5;53.0414178141413;33.0307205901964
ПС 35/10кВ Доброводье;1987;3.2;52.1070857516149;34.6422827545267
