№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
162;Крылово;110000/10000;17,5
163;Лазоревая;110000/10000;6,3
164;Лесозавод;35000/6000;4
165;Малая Тавра;110000/10000;10
166;Малые Карзи;110000/10000;6,3
167;Манчаж;110000/10000;16,3
168;Мариинская;110000/6000;2,5
169;Марковская;110000/35000/6000;50
170;Мирная;110000/10000;25
171;Михайловская;110000/6000;121,5
172;Монетка;110000/35000/6000;32
173;Монтажная;110000/10000;32
174;Мостовая (ЦЭС);35000/400;0,1
175;Насосная;110000/35000/6000;12,6
176;Натальинская;110000/10000;12,6
177;Нижне-Иргинская;35000/10000;8
178;Низкая;35000/10000;10,3
179;Ново-Ивановская;110000/10000;16,3
180;Ноябрьская;110000/10000;12,6
181;Ольховка (ЦЭС);35000/6000;1,8
182;Отдых;35000/10000;8
183;Парковая;35000/10000;12,6
184;Петровская;35000/10000;6,5
185;Платоновская;110000/10000;5
186;Подъемная;110000/6000;12,6
187;Полевская;110000/35000/6000;46
188;Поташка;35000/10000;3,6
189;Приданниково;35000/10000/400;1,8
190;Пристань;110000/10000;10
191;Пышма;110000/35000/6000;94,5
192;Райводопровод;35000/6000;3,6
193;Решеты;110000/10000;6,3
194;Росинка;110000/6000;12,6
195;Роща;110000/10000;10
196;Рудник (ЗЭС);110000/35000/6000;10,3
197;Русский Потам;35000/10000;6,5
198;Рябиновая;35000/10000;1,8
199;Сажино;110000/35000/10000;20
200;Сарсы;110000/10000;6,3
201;Свердловская;110000/35000/10000;47,5
202;Свобода;110000/10000;10
203;Селекционная;35000/10000;8
204;Симинчи;110000/10000;2,5
205;Среднеуральская;110000/10000;20
206;Старые Арти;35000/10000;6,5
207;Степная;35000/10000;3,2
208;Сухановская;110000/10000;10
209;Сысерть.;110000/10000;10
210;Терсутская;110000/6000;2,5
211;Трактовая;35000/10000/400;1,8
212;Уфимка;110000/35000/10000;20
213;Хвощевая;35000/3000;2
214;Хромпик;110000/35000/6000;83
215;Цветная;110000/10000;20
216;Чатлыковская;35000/10000;3,2
217;Черкасовская;110000/35000/10000;6,3
218;Шпагатная;110000/35000/10000;32
219;Щелкун;35000/10000;12,6
220;Аппаратная;35000/6000;11,9
221;Арбатская;110000/10000;50
222;Басьяновка;110000/35000/6000;17,5
223;Башкарка;35000/10000;2,5
224;Белогорье;110000/35000/6000;20
225;Бунарская;110000/6000;50
226;Верхняя Тура;110000/35000/6000;63
227;Верховина;35000/6000;2
228;Висим;35000/10000;3,6
229;Выйская;35000/6000;20
230;Гальянка;110000/10000;50
231;Горбуново;110000/35000/10000;80
232;Горноуральская;110000/10000;12,6
233;Гороблагодатская;110000/35000/6000;63
234;Дрожжевая;110000/6000;32
235;Ежовая;35000/6000;5
236;Ермак;35000/6000;13,8
237;Заря;35000/6000;2,5
238;Зеленая (НТЭС);35000/6000;5
239;Ива (НТЭС);35000/6000;8
240;Ис;110000/35000/6000;25,6
241;Карпушиха;110000/35000/6000;26
242;Киприно;110000/10000;16,3
243;Клубная;110000/6000;50
244;Ключевская;110000/35000/6000;20
245;Конструктор;110000/6000;20
246;Косья;35000/6000;1,6
247;Красная (НТЭС);35000/6000;3,2
248;Краснодольск;35000/10000;1
249;Красноуральск;110000/35000/6000;103
250;Красный Камень;110000/35000/6000;63
251;Кушва;35000/6000;20
252;Лебяжка;110000/35000/6000;72
253;Левиха;35000/6000/3000;8
254;Лисьегорская;35000/6000;20
255;Лялинская;110000/10000;32
256;НПУ;35000/6000;5
257;Обуховская;110000/35000/10000;16
258;Ольховка (НТЭС);35000/6000;1,6
259;Гранит;110000/6000;40
260;Кварц;110000/6000;32
261;Топаз;110000/6000;50
262;Петрокаменск;35000/10000;8
263;Пихтовая;110000/6000;50
264;Половинная;110000/10000;12,6
265;Пятачок;110000/10000;6,3
266;Пятилетка;110000/6000;55,5
267;Радиаторная;110000/6000;64
268;Районная;110000/35000/6000;63
269;Реши;35000/10000;8
270;Романовская;110000/35000/6000;126
271;Рудник (НТЭС);35000/6000;20
272;Санаторная;35000/6000;3,2
273;Сверхглубокая;110000/6000;12,6
274;Свинокомплекс;110000/10000;20
275;Синегорск;35000/10000;1,8
276;Сокол;110000/6000;10
277;Союзная;110000/10000/6000;50
278;СПУ;35000/6000;1,8
279;Старатель;110000/35000/6000;20
280;Сторожевая;35000/6000;32
281;Таволги;110000/35000/10000;12,6
282;Усть-Утка;35000/10000;1,8
283;Хвойная;110000/10000;2,5
284;Черноисточинск;110000/6000;20
285;Шайтанка;35000/10000;10,3
286;Шиловская;35000/6000;3,2
287;Школьная;110000/10000;12,6
288;Шумиха;110000/10000;6,3
289;Шуркино;35000/10000;2,5
290;Южаково;35000/10000;10,3
291;Андрюшино;110000/10000;50
292;Антрацит;35000/6000;9,6
293;Атымья;110000/10000;5
294;Балагур;110000/6000;16
295;Веселовка;35000/6000;11,2
296;Воронцовский ГОК;110000/10000;20
297;Гари;110000/10000;5
298;Головная;35000/6000;1
299;Екатерининская;110000/6000;6,3
300;Западная;35000/6000;10,3
301;Ива (СЭС);110000/10000;20
302;Ивдель;110000/6000;20
303;Казанская;35000/6000;32
304;Карпинск;110000/35000/6000;94,5
305;Клюква;35000/6000;1,6
306;Конжак;110000/10000;20
307;Кордюково;110000/10000;12,6
308;КПП-4;110000/10000;123
