№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
86;Чапурники - 1;35000/10000;2,5
87;Чапурники - 2;110000/35000/10000;32
88;Ивановская;110000/10000;12,6
89;Приволжская;35000/10000;4
90;Цаца;35000/10000;4
91;Дубовоовражная;35000/10000;3,5
92;Светлый Яр;110000/10000;12,6
93;Островная;110000/6000;20
94;БВК-2;110000/6000;2,5
95;Орошаемая;35000/10000;4
96;Майская;110000/35000/10000;20
97;Карповская;110000/35000/10000;26
98;Нариман;35000/10000;4
99;Крепь;35000/10000;3,6
100;Новая;35000/10000;8
101;Бузиновская;35000/10000;4
102;Тингута;110000/35000/6000;32
103;Рокотино-2;35000/10000;10,3
104;Калач;110000/35000/10000;36
105;Ляпичево;35000/10000;12,6
106;Набатово;35000/10000;4
107;Водопроводная;35000/10000;8
108;Ильевка;110000/35000/10000;20
109;Россия;35000/6000;4
110;Ложки;110000/35000/10000;10
111;6-й км;35000/10000;4
112;Колпачки;110000/35000/10000;10
113;Горинская;110000/35000/10000;6,3
114;Комсомольская;35000/6000;4
115;Октябрьская;35000/10000;8
116;Радиорелейная;110000/10000;2,5
117;Дальняя;110000/10000;6,3
118;Ельшанская;110000/6000;58
119;Котлубань;110000/10000;12,6
120;Опытная-35;35000/10000;5
121;Опытная;110000/10000;6,3
122;ПНС-7;110000/6000;6,3
123;Городище;110000/10000;32
124;Степная;110000/10000;10
125;Кузьмичи;110000/6000;32
126;НС-2;110000/10000/6000;20
127;Летняя;110000/10000;6,3
128;Ерзовка;110000/10000;80
129;Томилино;35000/6000;10,3
130;Паньшино;110000/10000;6,3
131;К-1;110000/10000;10
132;Дубовка;110000/35000/10000;32
133;Пичуга;35000/10000;10,3
134;Кочетковская;35000/10000;6,3
135;Давыдовка;35000/10000;7,2
136;Стрельно-Широкое;35000/10000;12,6
137;Лозное;35000/10000;8
138;Оленье;35000/10000;4
139;Горная Пролейка;35000/10000;4
140;Родники;110000/35000/10000;16
141;Придорожная;110000/35000/10000;10
142;ГНС;110000/10000;6,3
143;Садовод;35000/10000;4
144;Балыклейская;35000/6000;4
145;Песковатка;220000/110000/10000;63
146;Труд;35000/10000;4
147;М.Горького;110000/10000;22,3
148;Городская-1;110000/35000/6000;90
149;Городская-2;110000/10000;80
150;Городская-3;110000/10000;32
151;Зеленая;110000/35000/6000;25
152;ГПЗ;110000/35000/6000;80,5
153;Скудры;35000/6000;6,3
154;ЦРМЗ;35000/6000;11,2
155;ЛПК;110000/35000/6000;32
