№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
138;Никольская;110/10;12,6
139;Подлопатки;110/35/10;10
140;Итанца;35/10;6,5
141;Котокель;110/10;10
142;Мостовка;110/10;20
143;Нестерово;110/10;2,5
144;Прибайкальская;110/35/10;32
145;СЛПБ;110/6;17,5
146;Турка;110/10;5
147;Гоуджекит;27,5/10;1
148;Нижнеангарск;35/10;8
149;Город;35/10;32
150;Муя;35/10;3,2
151;Ирокинда;110/6;12,6
152;Барыкино;35/10;1
153;Б-Куналей;35/10;3,2
154;В-Жирим;35/10;4,1
155;Десятниково;35/10;5
156;Куйтун;35/10;4,1
157;Н-Саянтуй;35/10;12,6
158;Николаевская;35/10;4,3
159;Пестерево;35/10;5
160;Тарбагатай;110/35/10;32
161;Аршан;35/10;8
162;Ахалик;35/10;5
163;Жемчуг;35/10;5
164;Монды;35/10;1,6
165;Нилова Пустынь;35/10;4,1
166;Орлик;35/10;3,2
167;Сорок;35/10;1,63
168;Хурай-Хобок;35/10;3,5
169;Польша;35/6;5,6
170;Самара;35/6;5,7
171;Зун-Мурино;110/35/10;12,6
172;Кырен;110/35/10;12,6
173;Самарта;110/35/10;20
174;Верхние - Тальцы;35/10;3,2
175;Санномыск;35/10;5
176;Тэгда;35/10;2,6
177;Хасуртайская;35/10;3,2
178;Георгиевская;110/35/10;12,6
179;Удинская;110/35/10;6,3
180;Хоринская;110/35/10;32
181;Карьер;35/10;1
182;Нижний Склад;35/10;10,3
183;Новая Брянь;35/10;20
184;Челутай;35/6;1
185;Шабур;35/6;4,2
186;ПСЗ;35/6;12,6
187;Онохой;110/35/10;32
188;В-1;110/35/6;20
