№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
142;"ПС ""Чушевицы""";110/35/10;20
143;"ПС ""Шелота""";35/10;1
144;"ПС ""Урусовская""";35/10;3.2
145;"ПС ""Сметанино""";35/10;2
146;"ПС ""Морозово""";35/10;3.2
147;"ПС ""Борки""";110/35/6;20
148;"ПС ""Великий Устюг""";110/35/6;32
149;"ПС ""Дымково""";110/35/10;20
150;"ПС ""Усть-Алексеево""";110/35/10;12.6
151;"ПС ""Полдарса""";110/10;5
152;"ПС ""Приводино""";110/35/10;32
153;"ПС ""Сусоловка""";110/10;2.5
154;"ПС ""СРЗ""";35/6;7.2
155;"ПС ""Золотавцево""";35/10;3.2
156;"ПС ""Кузино""";35/10;5
157;"ПС ""Новатор""";35/10;8
158;"ПС ""Палема""";35/10;2
159;"ПС ""Покрово""";35/10;2
160;"ПС ""Морозовица""";35/10;3.2
161;"ПС ""Благовещенье""";35/10;3.2
162;"ПС ""Ломоватка""";35/10;1.6
163;"ПС ""Кичменгский Городок""";110/35/10;20
164;"ПС ""Н.Енангск""";35/10;3.2
165;"ПС ""Верхняя Ентала""";35/10;2
166;"ПС ""Сараево""";35/10;1
167;"ПС ""Косково""";35/10;2
168;"ПС ""НПС""";110/35/10;32
169;"ПС ""Вострое""";110/10;5
170;"ПС ""Городищна""";35/10;3.2
171;"ПС ""Нюксеница""";35/10;8
172;"ПС ""Игмас""";35/10;3.2
173;"ПС ""Никольск""";110/35/10;20
174;"ПС ""Калинино""";110/10;8.8
175;"ПС ""Зеленцово""";110/10;5
176;"ПС ""Байдарово""";35/10;2
177;"ПС ""Демино""";35/10;3.6
178;"ПС ""Завражье""";35/10;3.2
179;"ПС ""Ивантец""";35/10;2.6
180;"ПС ""Дружба""";35/10;8
181;"ПС ""Коммунальная""";35/10;5
182;"ПС ""Кириллов""";110/35/10;20
183;"ПС ""Никольский Торжок""";110/10;12.6
184;"ПС ""Ферапонтово""";110/10;8.8
185;"ПС ""Коварзино""";110/35/10;6.3
186;"ПС ""Коврижино""";35/10/0,4;4.5
187;"ПС ""Талицы""";35/10;5
188;"ПС ""Коротец""";35/10;1.3
189;"ПС ""Чарозеро""";35/10;3.2
190;"ПС ""Белозерск""";110/35/10;20
191;"ПС ""Бечевинка""";110/10;2.5
192;"ПС ""Антушево""";110/35/10;12.6
193;"ПС ""Андозеро""";35/10;4.1
194;"ПС ""Шола""";35/10;4.1
195;"ПС ""Артюшино""";35/10;4.1
196;"ПС ""Нижняя Мондома""";35/10;4
197;"ПС ""Никановская""";35/10;4.1
198;"ПС ""Георгиевская""";35/10;2
199;"ПС ""Вашки""";110/35/10;20
200;"ПС ""Пиксимово""";35/10;3.2
201;"ПС ""Новокемская""";35/10;5
202;"ПС ""Ивановская""";35/10;2
203;"ПС ""Андреевская""";35/10;2
204;"ПС ""Белоусово""";110/35/6;32
205;"ПС ""Андома""";110/10;5
206;"ПС ""Восточная""";110/35/10;32
207;"ПС ""Мегра""";110/10;2.5
208;"ПС ""Устье""";110/10;2.5
209;"ПС ""Вытегра""";35/6;12.6
210;"ПС ""Водораздельная""";35/6;12.6
211;"ПС ""Рубеж""";35/6;5.6
212;"ПС ""Пахомовская""";35/6;8
213;"ПС ""Ольховская""";35/10;1
214;"ПС ""Новинковская""";35/6;8
215;"ПС ""Белый Ручей""";35/10;5
216;"ПС ""Анненская""";35/6;5.6
