№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
208;Водозабор;35/6;Приморский край, Уссурийкий район, Глуховская депрессия
209;Гайдамак;35/6;692953, Приморский край, Находка г, Ливадия пгт, Песчаная ул, дом № 5
210;Горная;35/6;692856, Приморский край, Партизанск г, Партизанская ул (шахта-2), дом № 2
211;Город;35/6;692330, Приморский край, Арсеньев г, Ленинская ул
212;Д;35/6;Приморский край, Дальнегорск г
213;Депо;35/6;692830, Приморский край, Шкотовский р-н, Смоляниново пгт, Маяковского ул, дом № 1/1
214;Дружба;35/6;692584, Приморский край, Пограничный р-н, Сергеевка с, Колхозная ул
215;З;35/6;690001, Приморский край, Владивосток г, Экипажная ул
216;Заводская;35/6;692730, Приморский край, Артем г, Угловое пгт, Заводской пер, дом № 13
217;Известковая;35/6;692500, Приморский край, Уссурийск г, Т.Тихого
218;Инструментальная;35/6;Приморский край, Владивосток г, Партизанский пр-кт, дом № 42, корпус а
219;Ипподром;35/6;690041, Приморский край, Владивосток г, Аренского ул
220;Кавалерово;35/6;692411, Приморский край, Кавалеровский р-н, Кавалерово пгт, Луговая ул, дом № 1, корпус а
221;Коммунар;35/6;692537, Приморский край, Уссурийский р-н, Новоникольск с, Колхозная ул
222;Краснореченск;35/6;692443, Приморский край, Дальнегорский р-н, Краснореченский с, Октябрьская ул
223;Крутая;35/6;692411, Приморский край, Кавалеровский р-н, Рудный пгт, Партизанская ул, дом № 1
224;КЭТ;35/6;Приморский край, Владивосток г, Русский Остров нп
225;Лазурная;35/6;690022, Приморский край, Владивосток г, Лесная ул
226;ЛДК;35/6;692136, Приморский край, Дальнереченск г, Рыбачий пер
227;Лесная;35/6;692350, Приморский край, Яковлевский р-н, Новосысоевка с
228;Луговая;35/6;690034, Приморский край, Владивосток г, Спортивная ул
229;Мелькомбинат;35/6;692511, Приморский край, Уссурийск г, Ивасика ул, дом № 14Г
230;Многоудобное;35/6;692841, Приморский край, Шкотовский р-н, Многоудобное с
231;Молокозавод;35/6;692500, Приморский край, Уссурийск г, Куйбышева ул, дом № 66
232;Надеждинская;35/6;692491, Приморский край, Надеждинский р-н, Новый п
233;Насосная-2;35/6;692815, Приморский край, Шкотовский р-н, Стеклянуха с
234;Новороссия;35/6;692844, Приморский край, Шкотовский р-н, Новороссия с
235;Ново-Сысоевка;35/6;692350, Приморский край, Яковлевский р-н, Новосысоевка с, Советская ул, дом № 47
236;Озерная падь;35/6;692651, Приморский край, Михайловский р-н, Михайловка с
237;Океанская;35/6;690024, Приморский край, Владивосток г, Короленко ул
238;Партизан;35/6;692856, Приморский край, Партизанск г, Сурикова ул
239;Парус;35/6;Приморский край, Находка г, Судоремонтная ул
240;Промбаза;35/6;Приморский край, Дальнегорский р-н, Дальнегорск, 50 лет Октября, дом № 308
241;Птицефабрика;35/6;692779, Приморский край, Артем г, Суражевка с
242;Раковка;35/6;692534, Приморский край, Уссурийский р-н, Раковка с, Советская ул
243;Речная;35/6;692658, Приморский край, Михайловский р-н, Ляличи с, Ленинская ул
244;Рыбники;35/6;692909, Приморский край, Находка г, Матросова ул, дом № 1
245;Рыбный порт;35/6;690012, Приморский край, Владивосток г, Ольховая ул, дом № 17
246;Сахарный ключ;35/6;Приморский край, Владивосток г, Маковского ул АЗС
247;Сахкомбинат;35/6;692502, Приморский край, Уссурийск г, Шевченко ул, дом № 14в
248;Связь;35/6;"Приморский край, Находка г, район ""ЦМСС"""
249;Северная;35/6;692871, Приморский край, Партизанск г, Углекаменск пгт, Калинина ул, дом № 69
250;Сергеевка;35/6;692916, Приморский край, Партизанский р-н, Сергеевка с
251;Сержантово;35/6;692436, Приморский край, Дальнегорский р-н, Сержантово с, Советская ул
252;Соленое озеро;35/6;Приморский край, Находка г, Постышева ул
253;Соловей ключ;35/6;692481, Приморский край, Надеждинский р-н, Соловей Ключ п
254;Суражевка;35/6;692778, Приморский край, Артем г, Заводской пгт, Михайловская ПФК
255;Тавричанка;35/6;692496, Приморский край, Надеждинский р-н, Тавричанка п
256;Тайга;35/6;Приморский край, Дальнегорск г, п. Тайга
257;Телецентр;35/6;Приморский край, Владивосток г, Суханова ул
