Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/35/10 кВ Зубцов ;1975;50;56.1724699546412;34.5756604961677
ПС 35/10 кВ П.Городище ;1975;11.2;56.1321424441976;34.8980527478833
ПС 35/10 кВ Степурино ;1963;8;56.3944275522524;35.2511267673434
ПС 35/10 кВ Максимово ;1979;5;56.591538770162;34.6281204938289
ПС 35/10 кВ Луковниково ;1971;6.5;56.652683647502;34.3744515109605
ПС 110/10 кВ НТПФ ;1978;12.6;56.2067042181212;34.2141449192445
ПС 110/10 кВ Мостовая ;1962;12.6;56.2401813550657;33.1585074042124
ПС 110/35/10кВ Ржев ;1960;80.5;56.2411116350114;34.3121138440135
ПС  110/35/10 кВ Чертолино;1978;11.9;56.2068913881014;33.8922585345061
ПС 110/35/10 кВ Оленино ;1964;26;56.2225907125217;33.5024814460684
ПС 110/35/10 кВ Старица ;1961;32;56.4982304982972;34.9254301044739
ПС 110/35/10 кВ З.Поле ;1975;12.6;56.5936165078186;35.2256387405269
ПС 110/10 кВ Золоотвал ;1989;2.5;56.8181466409646;35.9403247360673
ПС 35/10 кВ Красногорская ;1959;2.5;56.7137106502618;35.6069646895122
ПС 35/10 кВ Лисицкий Бор ;1970;2.5;56.7764879355094;36.343396986997
ПС  35/3 кВ №6 ;1949;1;57.0125581961799;36.1543828272924
ПС 35/6 кВ №1 ;1939;2.5;56.9513381582617;35.8833884595221
  ПС  35/10 кВ №1 ;1939;4;56.9513381582617;35.8833884595221
ПС 35/10 кВ Золотиха ;1979;2.5;57.2309380440619;35.6042475573933
ПС  35/10 кВ Новый Стан;1984;2.5;57.3856200559005;35.4373520963054
ПС  35/10 кВ Романово;1979;2.5;56.9568493690379;35.519790738799
ПС 35/10 кВ Первитино ;1988;1.6;57.1250738099151;35.6727532280899
ПС 35/10 кВ № 8  ;1966;2.5;56.6626982087763;36.6972146769468
ПС 35/6 кВ Алексино ;1995;2.5;56.7686941368984;36.2755028635538
ПС 35/10 кВ Безбородово ;1981;4;56.587896602222;36.4910108207308
ПС 110/10 кВ Медведиха ;1979;2.5;57.2056035898968;36.369147383305
ПС 35/10 кВ Киверичи ;1964;2.5;57.3637554305506;36.5991526381303
ПС 35/10 кВ Диево ;1982;2.5;57.3911249694421;36.3799728854511
ПС  35/10 кВ №16;1955;5;56.6238820700009;35.5714174819768
ПС 35/10 кВ №17 ;1985;8;56.9120947813664;36.2309966978676
ПС  35/6 кВ Даниловская;1990;8.8;56.7916328448529;35.7139339625055
ПС 35/10 кВ Кушалино;1963;5;57.1305538773864;36.0753261472159
ПС 35/6 кВ №4 ;1961;11.2;56.798377183552;36.0421723747059
ПС  35/6 кВ №13;1947;6.4;56.8129382416201;35.9977145200668
ПС 35/6 кВ №27 ;1964;20;56.8407888256284;35.9366989919176
ПС 35/6 кВ Вагжановская ;1954;32;56.8461723449536;35.8836746106953
ПС  35/6 кВ Завод 1 Мая;1966;20;56.8518087843636;35.8718210312096
ПС 35/6 кВ Стекловолокно ;1966;20;56.8952226708483;35.8232762968806
ПС 35/10 кВ Соминка ;1974;32;56.8886440788217;35.8984039864436
ПС  35/6 кВ Заволжская;1956;17.5;56.8620148705766;35.8548721485312
ПС 35/10 кВ Капошвар ;1986;20;56.8455372736253;35.9086246238334
ПС 110/10/10 кВ Лебедево;2014;50;56.784231;35.865099
ПС  110/10 кВ Мамулино;1994;12.6;56.8346363308877;35.8359504875381
ПС 110/10 кВ Глазково ;1984;12.6;56.897833852421;35.9363550359226
ПС 110/10 кВ Пролетарская ;1978;32;56.8570603982473;35.8561285455485
ПС 35/10 кВ Тургиново ;1964;12.6;56.5223458749134;35.9657271644718
ПС 35/10 кВ Сахарово ;1964;8;56.9036213458154;36.0505821316779
ПС  35/10 кВ Головино;1965;5;56.847192621276;36.5916641946117
ПС  35/6 кВ Каликино;1966;13.2;56.9012880480792;35.7673996636265
ПС 35/10 кВ Квакшино;1966;8;56.7038572983037;35.8410245162086
ПС  35/10 кВ Городня;1970;12.6;56.875332433911;35.6844717698772
ПС 35/10 кВ Рязаново ;1975;8;56.7112100327132;35.7898485858253
ПС 35/10 кВ Савватьево ;1969;6.5;56.8413708929346;36.10382904362
ПС 35/10 кВ Беле-Кушаль ;1978;4.1;56.9367926919741;36.1406301890381
ПС 35/10 кВ Стеклозавод ;1989;5;56.847220438272;36.683607523095
ПС  35/10 кВ Гришкино;1975;12.6;56.7419028169504;35.9095050659375
ПС 35/3 кВ №2 ;1939;2;57.0111903051049;35.9319307195048
ПС  35/10 кВ №15;1979;10.3;56.9705664084831;35.918041082431
ПС 35/10 кВ Медное ;1958;12.6;56.9281531334077;35.4641579552227
ПС 35/10 кВ Толмачи       ;1964;4.3;57.4300237483767;35.6699351592261
ПС 35/10 кВ № 7 ;1984;4.1;57.0257487423976;35.412136241076
ПС  35/6 кВ № 5 ;1974;9.6;56.6446820018231;36.226998063349
ПС  35/6 кВ № 9 ;1953;11.9;56.5651878688367;36.4442209910063
ПС 35/10 кВ № 9  ;1953;12.6;56.5651878688367;36.4442209910063
ПС 35/6 кВ № 10 ;1946;3.6;56.66747028249;36.3604924474138
ПС 35/10 кВ № 11  ;1966;16.3;56.5185734302209;36.2849644916099
ПС 35/10 кВ Дм.Гора  ;1963;20;56.6688225294935;36.9704607115258
ПС 35/6 кВ ЗМИ  ;1971;26;56.7116155893235;36.7921289178536
ПС 35/10 кВ Изоплит  ;1974;12.6;56.6199701871547;36.2002175000769
ПС 35/6 кВ Карачарово;1975;10.3;56.6755897009702;36.6946328043005
ПС 35/6 кВ Кр. Луч  ;1978;5.7;56.6988208723956;36.3077760774151
ПС 35/6 кВ Мелково  ;1978;4.1;56.6450540533039;36.4415365641708
ПС 35/10 кВ Селихово ;1981;5;56.6630888872685;36.8032597949913
ПС 35/10 кВ Мокшино;1976;20;56.5832732846382;36.5048317198352
ПС 35/10 кВ Энергетик ;1987;6.5;56.6757761381832;36.6813262823373
ПС 35/10 кВ Эммаус  ;1980;8;56.7710011005509;36.1039893659825
ПС  35/10 кВ Юрьево-Девичье;1980;10.3;56.7110627622741;36.6533198980194
ПС 35/6 кВ №18  ;1957;36;56.8376889821672;35.9134634461606
ПС 35/6  кВ Затверецкая ;1951;30;56.8727380673691;35.9622274157069
ПС 110/35/10 кВ Пушкино ;1988;10;56.5843719695498;35.7619123136638
ПС 110/10/6 кВ Механич.з-д ;1976;80;56.8384440478443;35.7916137407377
ПС 110/35/10 кВ Южная ;1973;120;56.8123528648561;35.8753892929214
ПС 110/35/10 кВ Северная ;1971;80;56.8824720048164;35.8685572922901
ПС 110/35/10 кВ Лазурная ;1971;80;56.817318062914;36.0003211256895
ПС 110/10/6 кВ Экскаваторный з-д ;1981;80;56.8463259264785;35.943401629587
ПС 110/35/10 кВ Медновский в-ор ;1987;20;56.9408394970529;35.6244502346157
ПС 110/35/10 кВ Лихославль ;1963;50;57.1177441960112;35.4745827200604
ПС 110/35/10 кВ Безбородово ;1981;50;56.587896602222;36.4910108207308
ПС 110/35/6 кВ Редкино  ;1957;80.5;56.6528212843731;36.2861339580848
ПС 110/35/10 кВ Рамешки ;1964;26;57.3406360797293;36.0477389879154
ПС 110/35/10 кВ Тучево ;1983;50;57.1871393931431;35.8548381837592
ПС  35/10 кВ Страшевичи;1976;2.5;56.8301746418446;34.6076807313507
ПС 35/10 кВ Сукромля ;1990;2.5;56.8905508528582;34.7368100705023
ПС 35/10 кВ Красный Городок ;1970;0.56;57.1781988193695;33.7258616252385
ПС 35/10 кВ Прямухино ;1991;2.5;56.9354846584773;34.4517950161605
ПС 35/10 кВ Пень  ;1967;1.6;57.0901837567651;34.1585269643228
ПС 35/10 кВ Печниково ;2005;2.5;57.1096802514365;33.7722914003378
ПС 35/10 кВ Максимково ;1967;2.5;56.6551661806388;33.2658100487351
ПС 35/10 кВ Филистово ;1986;1.6;56.7990696223158;33.365244784148
ПС 35/10 кВ Оковцы  ;1991;1;56.6577175697605;33.4718425284053
ПС 35/10 кВ Селигер  ;1969;6.3;57.2823623133319;32.9194482514313
ПС 35/10 кВ Мошары  ;1974;1.6;56.6412298973027;32.8476767048506
ПС  35/10 кВ Ворошилово ;1988;2.5;56.9592799238874;32.2488640621053
ПС 35/10 кВ Слаутино   ;1968;1.6;57.0576360351549;32.3310433127244
ПС 35/10 кВ Мошки ;1970;4.1;56.835124665265;35.0365059714039
ПС 35/10 кВ Высокое  ;1968;6.5;56.6979322513529;34.9063601283438
ПС 35/10 кВ Бубеньево  ;1978;8;56.981818912281;35.1046864517273
ПС 35/10 кВ Б.Вишенье ;1961;5;57.1331219237185;34.6724855972176
ПС 35/10 кВ Будово ;1980;12.6;57.2047165390397;34.9455300087211
ПС 35/10 кВ Ельцы  ;1963;8;56.6654547379393;33.8508383047499
ПС 35/10 кВ Селище ;1967;8;56.8871110417447;33.3026043807255
ПС 35/10 кВ Святое ;1973;4.1;57.2629774238734;33.3606155715151
ПС 35/10 кВ Крапивня  ;1979;5;57.0472711405613;33.3751035160951
ПС 35/10 кВ Светлица  ;1988;5;57.2429492272559;33.0906559107575
ПС  110/6 кВ КС-20  ;1981;126;57.0222663944248;35.0138463331665
ПС 110/10 кВ  Полиграфкраски ;1968;20;57.0145145021046;34.9877970259616
ПС 110/10 кВ НПС Торжок ;1988;50;56.9466971165782;34.8662655357174
ПС 110/10 кВ Селихово ;1978;5;57.0263069308048;34.6381227137105
ПС 110/10 кВ Пено ;1967;12.6;56.8994742183557;32.7316186631982
ПС 110/35/10 кВ Торжок  ;1964;80;57.0742952052345;35.000555290348
ПС 110/35/10 кВ Стройиндустрия ;1979;50;57.0221461517501;34.9523495501174
ПС 110/35/10 кВ Кувшиново  ;1983;65;57.0078732375072;34.1738950795036
ПС 110/35/10 кВ Селижарово  ;1978;26;56.8531469246557;33.4977328072369
ПС 110/35/10 кВ НПС Борисово ;1980;50;56.7828357560401;33.5259050563285
ПС 110/35/10 кВ Осташков  ;1982;50;57.1372870485071;33.1036333908744
ПС  110/35/10 кВ Н. Рожок ;1967;20;57.1935137431869;33.0140343258955
