№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
65;ПС-59 Софпорог;110/10 ;2.5
66;ПС-45 Чупа;110/35/10 ;26
67;ПС-22К Тэдино;35/10;2.5
68;ПС-23К Плотина;35/10;5
69;ПС-24К Амбарный;35/10;2.5
70;ПС-27К Малиновая Варакка;35/10;8
71;ПС-14 Олений;110/10 ;6.3
72;ПС-15 Сегежа;110/35/6 ;80
73;ПС-31К Табой Порог;35/0,4 ;0.3
74;ПС-25К УМ-220/7;35/6;10.3
75;ПС-26К Птицефабрика;35/6;12.6
76;ПС-30К Попов Порог;35/6;1
77;ПС-44П Жарниково;35/10;12.6
78;ПС-40 Коткозеро;110/35/10 ;11
79;ПС-41 Олонец;110/35/10 ;32
80;ПС-12П Ильинский;35/10;8
81;ПС-13П Видлица;35/10;8
82;ПС-14П Тукса;35/10;5
83;ПС-15П Михайловское;35/10;3.2
84;ПС-50П Куйтежа;35/10;2.6
85;ПС-38 Челмужи;110/35/10 ;6.3
86;ПС-77 Повенец;110/35/10 ;10.3
87;ПС-78 Великая Губа;110/35/10 ;20
88;ПС-23П Толвуя;35/10;5
89;ПС-27П Кяппесельга;35/10;2.5
90;ПС-28П Сергиево;35/10;1
91;ПС-29П Шуньга;35/10;5
92;ПС-40П Пергуба;35/10;1.8
93;ПС-45П Великая Нива;35/10;2.5
94;ПС-55П Паданы;35/10;2.6
95;ПС-56П Чебино;35/10;3.2
96;ПС-37 Пяльма;110/10 ;5.7
97;ПС-75 Каршево;110/10 ;8.8
98;ПС-36 Пудож;110/35/10 ;32
99;ПС-76 Авдеево;110/35/10 ;12.6
100;ПС-30П Киково;35/10;1
101;ПС-31П Кривцы;35/10;1
102;ПС-32П Кубово;35/10;2.5
103;ПС-34П Рагнукса;35/10;1
104;ПС-35П Шала;35/10;7.2
105;ПС-36П Поршта;35/10;1
106;ПС-37П Водла;35/10;1
107;ПС-58П Подпорожье;35/10;2.5
108;ПС-59П Кашино;35/10;3.2
109;ПС-33П Большой Массив;35/6;6.5
110;ПС-66 Кукковка;110/10 ;32
111;ПС-70 Прибрежная;110/10 ;41
112;ПС-72 Сулажгора;110/10 ;26
113;ПС-67 Радиозавод;110/10/10 ;50
114;ПС-1 Петрозаводск;110/10/6 ;80
115;ПС-21 Шуя;110/35/6 ;50
116;ПС-7 ТБМ;110/35/6 ;50
117;ПС-41П Соломенное;35/10;5
118;ПС-46П ЮПЗ;35/10;12.6
119;ПС-52П Мелиоративный;35/10;8
120;ПС-18П Бесовец;35/6;12.6
121;ПС-26П Холодильник;35/6;12.6
122;ПС-3П ДСК;35/6;13.1
123;ПС-49П Уя;35/6;1.6
124;ПС-57П Тепличный;35/6;8
125;ПС-6 Пай;110/10 ;2.5
126;ПС-79 Авангард;110/10 ;32
127;ПС-83 Логмозеро;110/10 ;75
128;ПС-39 Ведлозеро;110/35/10 ;32
129;ПС-63 Березовка;110/35/10 ;16.3
130;ПС-64 Пряжа;110/35/10 ;20
131;ПС-69 Станкозавод;110/35/10 ;50
132;ПС-5 Деревянка;110/35/10/6 ;26
133;ПС-23 Заозерье;110/35/6 ;20
134;ПС-20 КОЗ;110/6 ;26
135;ПС-22 Суна;110/6 ;5
136;ПС-22П Педасельга;35/10;8
137;ПС-10П Половина;35/10;5
138;ПС-16П Юркостров;35/10;1
139;ПС-17П Святозеро;35/10;8
140;ПС-1П Спасская Губа;35/10;5
141;ПС-21П Шелтозеро;35/10;5
142;ПС-24П Шокша;35/10;8
143;ПС-25П Рыбрека;35/10;4
144;ПС-2П Кончезеро;35/10;8.8
145;ПС-38П Лососинное;35/10;2.5
146;ПС-42П Эссойла;35/10;10.3
147;ПС-48П Птицефабрика;35/10;12.6
148;ПС-5П Маньга;35/10;1
149;ПС-6П Матросы;35/10;3.2
150;ПС-8П Крошнозеро;35/10;2
151;ПС-9П Вилга;35/10;8
