№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
140;Краснова;110000/10000;20
141;Кристалл;35000/6000;20
142;Крохалевка;110000/6000;50
143;Лесозаводская;35000/6000;9,6
144;Мост;110000/35000/6000;50
145;Набережная;35000/6000;20
146;Нагорная;35000/6000;3,2
147;Окуловская;110000/35000/6000;50
148;Первомайская;35000/10000/6000;43,9
149;Плеханова;110000/35000/6000;50
150;Портовая;110000/6000;20
151;Пролетарская;35000/6000;12,6
152;Разгуляй;110000/35000/6000;50
153;Рассохинская;110000/35000/6000;50
154;Река;35000/6000;32
155;Сафроны;110000/10000;12,6
156;Северная;110000/6000;32
157;Скобелевка;35000/6000;8
158;Старехи;110000/6000;32
159;Строительная;110000/35000/6000;32
160;Судозавод;35000/6000;20
161;Суханки;110000/35000/6000;80
162;Талица;110000/35000/6000;26
163;Театральная;35000/6000;12,6
164;Телефонная;35000/6000;12,6
165;Телецентр;35000/6000;20
166;Технологическая;110000/10000/6000;50
167;Химград;110000/6000;64
168;Центральная;35000/6000;48
169;Шлюзовая;110000/6000;12,6
170;ЭПВРЗ;110000/35000/6000;60
171;Южная;110000/35000/6000;80
172;Белоево;110000/10000;5,7
173;Весляна;110000/35000/10000;12,6
174;Габово;35000/10000;1,8
175;Гайны;110000/35000/10000;13,8
176;Иньва;35000/10000;4
177;Кебраты;35000/10000;1
178;Коса;35000/10000;5
179;Кочево;110000/35000/10000;12,6
180;Кудымкар;110000/35000/10000;50
181;Купрос;110000/35000/10000;20
182;Ленинск;35000/10000;4,3
183;Майкор;35000/10000;3,4
184;Ошиб;35000/10000;4
185;Пожва;35000/10000;8
186;Пуксиб;35000/10000;2
187;Пятигоры;35000/10000;1
188;Серебрянка;35000/10000;5
189;Юксеево;110000/35000/10000;12,6
190;Юм;35000/10000;2,5
191;Юрла;110000/35000/10000;16,3
192;Юсьва;110000/35000/10000;12,6
193;Антоново;35000/10000;2,5
194;Аэропорт;35000/6000;12,6
195;Батуево;110000/10000;6,3
196;Васильевская;110000/35000/10000;15,6
197;Волеги;110000/35000/10000;48
198;Восход;35000/10000;8
199;Вышка;35000/6000;12,6
200;Гамово;110000/10000;20
201;Гари;110000/10000;6,3
